36;Разлука Орхидеи и Повелителя демонов;Сяо Ланьхуа (Юй Шу Синь) - маленькая небесная фея - бессознательно выпустила своего смертельного врага Дунфан Цинцана (Ван Хэ Ди) - могущественного повелителя демонов, Владыку Луны - который на протяжении 30 тысяч лет был заперт в башне. Чтобы снять проклятие и вернуть свободу своему народу, Дунфан Цинцан хочет принести в жертву душу бывшей богини войны Чиди (Го Сяо Тин), пожертвовашей своей жизнью ради того чтобы запечатать воинов лунного племени. Но в процессе исполнения задуманного бессердечный демон влюбляется в нежную и очаровательную юную фею.;2022;finish;романтика
37;Союз благородных;;2023;finish;детектив
38;Время притворяться;"История огненного принца с ядовитым языком и ""нежной"" принцессы, выросшей в семье военного. Она похожа на волка в овечьей шкуре, который встречает тигра, который надел волчью шкуру.";0;finish;комедия
39;Моя невероятная судьба;На протяжении поколений два города Муси и Сюаньюэ сражались друг с другом, всегда пытаясь завоевать друг друга. У старого владельца города Муси была только одна дочь, Е Чжаонань, пол которой он тайно скрывал, чтобы однажды она могла унаследовать его трон. С раннего возраста Чжаонань всегда маскировалась под мальчика, пока однажды не упала со скалы и не встретила Лю Сюаньмина, правителя города Сюаньюэ. И тогда у них началась чудесная история.;2023;finish;комедия
40;Безмолвное чтение;"Детство, воспитание, семейное положение, социальные отношения и травмирующий опыт…Мы неустанно преследуем и ищем мотивы преступников, исследуя тончайшие эмоций, движущие ими. Не для того, чтобы сопереживать или прощать, оправдывая их поступки, не для преклонения перед так называемой ""сложностью человеческой натуры"", не ради размышлений о социальных конфликтах, а лишь затем, чтобы самим не превратиться в монстров.Мы просто ищем справедливого суда для себя и для тех, у кого все еще остается надежда на мирную жизнь.По роману Priest ""Silent Reading"" (默读).";2023;in progress;криминал
41;Появился тот самый!;Мать-одиночка Ё Ду (Пэк Чжин Хи) встречает Тэ Гёна (Ан Джэ Хен), который решил навсегда остаться холостым.;2023;in progress;романтика
42;Королева Чорин;В наше время Чан Бон Хван (Чхве Джин Хёк) работает шеф-поваром в Голубом Доме.;2020;finish;драма
43;Девушка, которую он не замечал;"Столкнувшись с ужасными финансовыми обстоятельствами, Джейд устраивается на работу личным секретарем к сыну самого богатого судоходного магната - Эросу, но все осложняется, когда в отчаянной попытке обеспечить себе место подходящего наследника компании, Эрос просит Джейд стать его фальшивой невестой! Смогут ли они сохранить свои ""отношения"" строго профессиональными? Между тем, Эрос находит Джейд странно знакомой, но он никак не может понять, в чем дело...На основе одноименного романа Neilani Alejandrino (sweetdreamer33).";2022;finish;мелодрама
44;Обязанности после школы;Внезапно странные инопланетные существа появляются в небе Земли и наносят тяжелые потери. Чтобы увеличить военную мощь Кореи, правительство объявляет, что все университеты и старшие школы будут объединены в резервные силы. Тем временем ученики класса 3-2-го старшей школы сбиты с толку ситуацией, с которой они столкнулись. Они усердно готовились к вступительным экзаменам в университет, но в этом году их не будет. Вместо этого они приписаны к резервным силам. Командир взвода Ли Чун Хо (Син Хён Су) и сержант Ким Вон Бин (Ли Сун Вон) приезжают в старшую школу, чтобы тренировать учеников. Ли Чун Хо строг со студентами, но очень заботится о них. Пак Ын Ён (Им Се Ми) — классный руководитель класса 3-2 и ставит безопасность учеников на первое место.;2023;finish;военный
45;Любовь по контракту;;2022;finish;бизнес
46;Тепло холодной ночи;Странное дело об убийстве сталкивает стража Су Цзюэр из холодного Царства Цянь и наследника рода Ци Хань Чжэна. Став напарниками, они вместе прорываются сквозь туман заговора, пытаясь раскрыть правду о своих враждующих семьях.;2023;finish;исторический
47;Любовь подобна звёздам;Чэн Шаошан осталась одна, потому что ее родители ушли воевать. Чтобы защитить себя от коварной тети, ей приходилось проявлять особую прилежность, притворяясь своей противоположностью. Однако годы отчуждения помешали им снова стать семьей.;2022;finish;исторический
48;Опасная любовь;;2022;finish;романтика
49;Пандора: Сфабрикованный рай;Жестокая история выживания женщины, которая должна подняться до положения первой леди, чтобы защитить свою любимую семью. Героиня сталкивается лицом к лицу с суровой правдой совершенно забытого прошлого, отчаянно жаждет мести, чтобы наказать тех, кто взял в свои руки ее судьбу и яростно потряс ее.Пё Джэ Хён (Ли Сан Юн) - примерный семьянин и одарённый учёный, разработавший новую технологию в области нейронных интеллектуальных патчей. Обладая хорошими лидерскими качествами, но мягкий и здравомыслящий, Джэ Хён умело управляет своей компанией, что вызывает восхищение у окружающих. В политическом мире о нем начинают говорить как о следующем кандидате в президенты.Хон Тхэ Ра (Ли Чжи А) - супруга Пё Джэ Хёна, у которой казалось бы идеальная жизнь: любимый муж и очаровательная дочь, к тому же муж баллотируется на пост президента....но есть одно НО...она не помнит своего прошлого. Однажды воспоминания возвращаются, и вся безупречная жизнь Тхэ Ра рушится. Ситуация выходит из-под контроля, и теперь что бы защитить свою семью и утолить жажду мести, она должна стать первой леди Кореи.Го Хэ Су (Чан Хи Джин) - популярная ведущая YBC. Внешне уверенная и самодостаточная, она имеет своё болезненное прошлое, тайны которого старается разгадать.Чан До Джин (Пак Ки Ун) - муж Го Хэ Су. Он руководит IT-компанией «Haechi» и является лучшим другом Джэ Хёна. Ещё со времён колледжа друзья поддерживали друг друга, но До Джину знаком вкус поражения.Гу Сон Чхан (Пон Тхэ Гю) - последний из троицы друзей со времён колледжа. Сейчас он является директором по разработкам в «Haechi», и с отчаянным упорством занимается исследованиями в области разработки интеллектуальных патчей, что является основной технологией компании.Трансляция с 11.03.2023 по субботам и воскресенье в 21:10;2023;in progress;боевик
50;Ты коснулась моего сердца;Героиня выросла в патриархальной семье, где никто не считается с женским мнением. Она эгоистична и упряма, выучившись на экономиста в США, возвращается в Таиланд. Понимая, сколько трудностей ей пришлось преодолеть на пути к получению образования, героиня очень гордится собой, но в глубине души остаётся слабой девушкой, которой недостаёт тепла. Однажды она встречает честного и открытого парня. Он любит её, не требуя ничего взамен, и кажется, что счастье уже близко, но... Семьи героев являются конкурентами в бизнесе, да ещё и герой становится подозреваемым в смерти брата героини, поскольку в прошлом встречался с его женой. ;2023;finish;романтика
51;Слабый герой;Ён Cи Ын — примерный ученик и занимает первое место по успеваемости в школе. Физически Ён Cи Ын выглядит слабым, но, используя свой ум, инструменты и психологию, он борется с насилием, происходящим внутри и за пределами его школы. ;2022;finish;школа
52;Мечтательница в весеннем будуаре;Талантливая девушка Цзи Мань И теряет память в результате несчастного случая и, неожиданно заменив свою сестру-близнеца, оказывается в поместье Хоу. Обладая выдающимся умом и деловой хваткой, ей удалось разрешить многочисленные кризисы, в конечном итоге завоевав расположение Нин Юй Сюаня, холодного и высокомерного молодого хозяина поместья. По одноименной новелле Bai Lu Cheng Shuang.;2023;in progress;исторический
